CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T08:09:53.284
ORIGINATOR     = CNES

META_START

COMMENT Solar array rotation angle from reference direction
COMMENT days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = ROTATION_ANGLE_SA_1
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-02T17:37:22.842

META_STOP

60676 43200.00000 168.10567
60676 43792.46023 -144.68795
60676 44384.92046 -114.27946
60676 44977.38069 -95.81854
60676 45569.84092 -83.59491
60676 46162.30115 -74.78648
60676 46754.76138 -68.02102
60676 47347.22161 -62.57096
60676 47939.68185 -58.01273
60676 48532.14208 -54.07196
60676 49124.60231 -50.53113
60676 49717.06254 -47.07768
60676 50309.52277 -41.74144
60676 50901.98300 -134.34007
60676 51494.44323 -138.06903
60676 52086.90346 -140.50182
60676 52679.36369 -142.59401
60676 53271.82392 -144.49831
60676 53864.28415 -146.27016
60676 54456.74438 -147.93888
60676 55049.20461 -149.52340
60676 55641.66484 -151.03745
60676 56234.12508 -152.49168
60676 56826.58531 -153.89473
60676 57419.04554 -155.25380
60676 58011.50577 -156.57504
60676 58603.96600 -157.86382
60676 59196.42623 -159.12486
60676 59788.88646 -160.36240
60676 60381.34669 -161.58029
60676 60973.80692 -162.78208
60676 61566.26715 -163.86409
60676 62158.72738 -165.05022
60676 62751.18761 -11.71194
60676 63343.64784 -167.49241
60676 63936.10807 -169.42957
60676 64528.56830 -8.18664
60676 65121.02854 -173.76743
60676 65713.48877 -176.15949
60676 66305.94900 -178.54802
60676 66898.40923 179.06773
60676 67490.86946 176.68847
60676 68083.32969 174.31483
60676 68675.78992 171.94743
60676 69268.25015 169.58679
60676 69860.71038 167.23341
60676 70453.17061 164.88770
60676 71045.63084 162.55002
60676 71638.09107 160.22066
60676 72230.55130 157.89982
60676 72823.01153 155.58766
60676 73415.47177 153.28428
60676 74007.93200 150.98971
60676 74600.39223 148.70392
60676 75192.85246 146.42682
60676 75785.31269 144.15830
60676 76377.77292 141.89816
60676 76970.23315 139.64621
60676 77562.69338 137.40217
