CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-17T02:46:53.995
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), altitude (km)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SATELLITE_ALTITUDE
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-11T11:59:21.868

META_STOP

60676 43200.00000 264.304
60676 43290.35368 264.987
60676 43380.70736 267.027
60676 43471.06103 270.401
60676 43561.41471 275.068
60676 43651.76839 280.976
60676 43742.12207 288.054
60676 43832.47574 296.221
60676 43922.82942 305.385
60676 44013.18310 315.441
60676 44103.53678 326.275
60676 44193.89046 337.769
60676 44284.24413 349.795
60676 44374.59781 362.222
60676 44464.95149 374.916
60676 44555.30517 387.742
60676 44645.65885 400.565
60676 44736.01252 413.252
60676 44826.36620 425.672
60676 44916.71988 437.698
60676 45007.07356 449.210
60676 45097.42723 460.092
60676 45187.78091 470.237
60676 45278.13459 479.546
60676 45368.48827 487.928
60676 45458.84195 495.304
60676 45549.19562 501.601
60676 45639.54930 506.762
60676 45729.90298 510.736
60676 45820.25666 513.486
60676 45910.61034 514.986
60676 46000.96401 515.223
60676 46091.31769 514.194
60676 46181.67137 511.908
60676 46272.02505 508.388
60676 46362.37872 503.666
60676 46452.73240 497.786
60676 46543.08608 490.805
60676 46633.43976 482.789
60676 46723.79344 473.815
60676 46814.14711 463.969
60676 46904.50079 453.349
60676 46994.85447 442.058
60676 47085.20815 430.209
60676 47175.56182 417.922
60676 47265.91550 405.319
60676 47356.26918 392.532
60676 47446.62286 379.693
60676 47536.97654 366.937
60676 47627.33021 354.399
60676 47717.68389 342.213
60676 47808.03757 330.512
60676 47898.39125 319.424
60676 47988.74493 309.073
60676 48079.09860 299.572
60676 48169.45228 291.031
60676 48259.80596 283.546
60676 48350.15964 277.202
60676 48440.51331 272.073
60676 48530.86699 268.218
60676 48621.22067 265.683
60676 48711.57435 264.497
60676 48801.92803 264.674
60676 48892.28170 266.212
60676 48982.63538 269.094
60676 49072.98906 273.285
60676 49163.34274 278.738
60676 49253.69642 285.388
60676 49344.05009 293.159
60676 49434.40377 301.963
60676 49524.75745 311.698
60676 49615.11113 322.256
60676 49705.46480 333.517
60676 49795.81848 345.358
60676 49886.17216 357.648
60676 49976.52584 370.255
60676 50066.87952 383.043
60676 50157.23319 395.877
60676 50247.58687 408.623
60676 50337.94055 421.149
60676 50428.29423 433.326
60676 50518.64791 445.033
60676 50609.00158 456.151
60676 50699.35526 466.571
60676 50789.70894 476.190
60676 50880.06262 484.915
60676 50970.41629 492.661
60676 51060.76997 499.355
60676 51151.12365 504.932
60676 51241.47733 509.341
60676 51331.83101 512.539
60676 51422.18468 514.496
60676 51512.53836 515.194
60676 51602.89204 514.627
60676 51693.24572 512.800
60676 51783.59939 509.729
60676 51873.95307 505.444
60676 51964.30675 499.985
60676 52054.66043 493.404
60676 52145.01411 485.763
60676 52235.36778 477.135
60676 52325.72146 467.604
60676 52416.07514 457.263
60676 52506.42882 446.212
60676 52596.78250 434.562
60676 52687.13617 422.428
60676 52777.48985 409.934
60676 52867.84353 397.207
60676 52958.19721 384.380
60676 53048.55088 371.585
60676 53138.90456 358.959
60676 53229.25824 346.636
60676 53319.61192 334.751
60676 53409.96560 323.432
60676 53500.31927 312.804
60676 53590.67295 302.987
60676 53681.02663 294.090
60676 53771.38031 286.214
60676 53861.73399 279.450
60676 53952.08766 273.874
60676 54042.44134 269.552
60676 54132.79502 266.533
60676 54223.14870 264.853
60676 54313.50237 264.531
60676 54403.85605 265.571
60676 54494.20973 267.962
60676 54584.56341 271.675
60676 54674.91709 276.668
60676 54765.27076 282.882
60676 54855.62444 290.247
60676 54945.97812 298.677
60676 55036.33180 308.077
60676 55126.68547 318.341
60676 55217.03915 329.354
60676 55307.39283 340.993
60676 55397.74651 353.130
60676 55488.10019 365.633
60676 55578.45386 378.368
60676 55668.80754 391.198
60676 55759.16122 403.990
60676 55849.51490 416.609
60676 55939.86858 428.927
60676 56030.22225 440.817
60676 56120.57593 452.161
60676 56210.92961 462.845
60676 56301.28329 472.765
60676 56391.63696 481.823
60676 56481.99064 489.932
60676 56572.34432 497.014
60676 56662.69800 503.002
60676 56753.05168 507.838
60676 56843.40535 511.478
60676 56933.75903 513.887
60676 57024.11271 515.043
60676 57114.46639 514.935
60676 57204.82007 513.563
60676 57295.17374 510.941
60676 57385.52742 507.093
60676 57475.88110 502.056
60676 57566.23478 495.877
60676 57656.58845 488.615
60676 57746.94213 480.340
60676 57837.29581 471.130
60676 57927.64949 461.075
60676 58018.00317 450.274
60676 58108.35684 438.832
60676 58198.71052 426.865
60676 58289.06420 414.492
60676 58379.41788 401.840
60676 58469.77156 389.038
60676 58560.12523 376.220
60676 58650.47891 363.522
60676 58740.83259 351.077
60676 58831.18627 339.021
