CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-17T02:46:53.507
ORIGINATOR     = CNES

META_START

COMMENT Angle between solar array normal direction and direction of Earth center
COMMENT days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = EARTH_ANGLE_SA_1
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-11T11:59:21.868

META_STOP

60676 43200.00000 101.89364
60676 43290.35368 95.79908
60676 43380.70736 89.70697
60676 43471.06103 83.61970
60676 43561.41471 77.53963
60676 43651.76839 71.46902
60676 43742.12207 65.41000
60676 43832.47574 59.36456
60676 43922.82942 53.33454
60676 44013.18310 47.32159
60676 44103.53678 41.32713
60676 44193.89046 35.35240
60676 44284.24413 29.39838
60676 44374.59781 23.46583
60676 44464.95149 17.55528
60676 44555.30517 11.66702
60676 44645.65885 5.80108
60676 44736.01252 0.04283
60676 44826.36620 5.86483
60676 44916.71988 11.66584
60676 45007.07356 17.44662
60676 45097.42723 23.20820
60676 45187.78091 28.95181
60676 45278.13459 34.67883
60676 45368.48827 40.39081
60676 45458.84195 46.08942
60676 45549.19562 51.77647
60676 45639.54930 57.45384
60676 45729.90298 63.12353
60676 45820.25666 68.78758
60676 45910.61034 74.44808
60676 46000.96401 80.10716
60676 46091.31769 85.76696
60676 46181.67137 91.42960
60676 46272.02505 97.09720
60676 46362.37872 102.77181
60676 46452.73240 108.45543
60676 46543.08608 114.14998
60676 46633.43976 119.85729
60676 46723.79344 125.57907
60676 46814.14711 131.31691
60676 46904.50079 137.07224
60676 46994.85447 142.84633
60676 47085.20815 148.64029
60676 47175.56182 154.45502
60676 47265.91550 160.29123
60676 47356.26918 166.14940
60676 47446.62286 172.02982
60676 47536.97654 177.93252
60676 47627.33021 176.14270
60676 47717.68389 170.19628
60676 47808.03757 164.22888
60676 47898.39125 158.24142
60676 47988.74493 152.23504
60676 48079.09860 146.21109
60676 48169.45228 140.17114
60676 48259.80596 134.11694
60676 48350.15964 128.05044
60676 48440.51331 121.97370
60676 48530.86699 115.88895
60676 48621.22067 109.79850
60676 48711.57435 103.70472
60676 48801.92803 97.61005
60676 48892.28170 91.51693
60676 48982.63538 85.42777
60676 49072.98906 79.34494
60676 49163.34274 73.27075
60676 49253.69642 67.20736
60676 49344.05009 61.15684
60676 49434.40377 55.12108
60676 49524.75745 49.10179
60676 49615.11113 43.10047
60676 49705.46480 37.11845
60676 49795.81848 31.15680
60676 49886.17216 25.21636
60676 49976.52584 19.29775
60676 50066.87952 13.40133
60676 50157.23319 7.52723
60676 50247.58687 1.67535
60676 50337.94055 4.15465
60676 50428.29423 9.96332
60676 50518.64791 15.75143
60676 50609.00158 21.51996
60676 50699.35526 27.27006
60676 50789.70894 33.00305
60676 50880.06262 38.72043
60676 50970.41629 44.42383
60676 51060.76997 50.11500
60676 51151.12365 55.79580
60676 51241.47733 61.46819
60676 51331.83101 67.13419
60676 51422.18468 72.79589
60676 51512.53836 78.45539
60676 51602.89204 84.11483
60676 51693.24572 89.77635
60676 51783.59939 95.44206
60676 51873.95307 101.11404
60676 51964.30675 106.79430
60676 52054.66043 112.48480
60676 52145.01411 118.18740
60676 52235.36778 123.90386
60676 52325.72146 129.63579
