CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T07:02:44.711
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), distance (km)
COMMENT Aussaguel: lon = 1.499 deg, lat = 43.430 deg, alt = 154.0 m, elevmin = 0.0 deg

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = DISTANCE_GROUND_STATION_1
TIME_SYSTEM = UTC
START_TIME = 2000-01-01T00:00:00.000
STOP_TIME = 2000-01-01T10:00:00.000

META_STOP

51544 0.00000 9949.874
51544 180.00000 9105.002
51544 360.00000 8182.003
51544 540.00000 7192.380
51544 720.00000 6150.322
51544 900.00000 5074.842
51544 1080.00000 3995.562
51544 1260.00000 2970.440
51544 1440.00000 2144.064
51544 1620.00000 1855.113
51544 1800.00000 2323.342
51544 1980.00000 3223.459
51544 2160.00000 4269.673
51544 2340.00000 5349.747
51544 2520.00000 6416.217
51544 2700.00000 7443.229
51544 2880.00000 8413.425
51544 3060.00000 9313.526
51544 3240.00000 10132.651
51544 3420.00000 10861.613
51544 3600.00000 11492.620
51544 3780.00000 12019.139
51544 3960.00000 12435.845
51544 4140.00000 12738.611
51544 4320.00000 12924.504
51544 4500.00000 12991.794
51544 4680.00000 12939.962
51544 4860.00000 12769.704
51544 5040.00000 12482.938
51544 5220.00000 12081.908
51544 5400.00000 11539.621
51544 5580.00000 10933.829
51544 5760.00000 10280.274
51544 5940.00000 9596.671
51544 6120.00000 8901.187
51544 6300.00000 8211.423
51544 6480.00000 7544.011
51544 6660.00000 6914.712
51544 6840.00000 6338.758
51544 7020.00000 5831.143
51544 7200.00000 5406.494
51544 7380.00000 5078.142
51544 7560.00000 4856.252
51544 7740.00000 4745.424
51544 7920.00000 4742.935
51544 8100.00000 4838.884
51544 8280.00000 5018.371
51544 8460.00000 5264.593
51544 8640.00000 5561.461
51544 8820.00000 5895.088
51544 9000.00000 6254.256
51544 9180.00000 6630.282
51544 9360.00000 7016.609
51544 9540.00000 7408.667
51544 9720.00000 7803.118
51544 9900.00000 8197.274
51544 10080.00000 8589.149
51544 10260.00000 8977.232
51544 10440.00000 9360.306
51544 10620.00000 9737.285
51544 10800.00000 10107.077
51544 10980.00000 10468.439
51544 11160.00000 10819.830
51544 11340.00000 11159.255
51544 11520.00000 11484.085
51544 11700.00000 11790.868
51544 11880.00000 12075.115
51544 12060.00000 12331.113
51544 12240.00000 12551.783
51544 12420.00000 12728.680
51544 12600.00000 12852.254
51544 12780.00000 12912.506
51544 12960.00000 12900.136
51544 13140.00000 12808.127
51544 13320.00000 12633.436
51544 13500.00000 12378.200
51544 13680.00000 12049.958
51544 13860.00000 11660.690
51544 14040.00000 11225.093
51544 14220.00000 10758.700
51544 14400.00000 10276.402
51544 14580.00000 9791.559
51544 14760.00000 9315.652
51544 14940.00000 8858.302
51544 15120.00000 8427.460
51544 15300.00000 8029.653
51544 15480.00000 7670.198
51544 15660.00000 7353.352
51544 15840.00000 7082.388
51544 16020.00000 6859.612
51544 16200.00000 6686.337
51544 16380.00000 6562.868
51544 16560.00000 6488.514
51544 16740.00000 6461.660
51544 16920.00000 6479.920
51544 17100.00000 6540.326
51544 17280.00000 6639.565
51544 17460.00000 6774.193
51544 17640.00000 6940.826
51544 17820.00000 7136.279
51544 18000.00000 7357.642
51544 18180.00000 7602.312
51544 18360.00000 7867.970
51544 18540.00000 8152.531
51544 18720.00000 8454.050
51544 18900.00000 8770.612
51544 19080.00000 9100.192
51544 19260.00000 9440.484
51544 19440.00000 9788.707
51544 19620.00000 10141.372
51544 19800.00000 10494.025
51544 19980.00000 10840.980
51544 20160.00000 11175.076
51544 20340.00000 11487.543
51544 20520.00000 11768.097
51544 20700.00000 12005.441
51544 20880.00000 12188.303
51544 21060.00000 12307.021
51544 21240.00000 12355.361
51544 21420.00000 12331.619
51544 21599.99999 12239.440
51544 21779.99999 12087.526
51544 21959.99999 11887.603
51544 22139.99999 11652.471
51544 22319.99999 11394.408
51544 22499.99999 11124.205
51544 22679.99999 10850.745
51544 22859.99999 10580.975
51544 23039.99999 10320.086
51544 23219.99999 10071.768
51544 23399.99999 9838.490
51544 23579.99999 9621.743
51544 23759.99999 9422.269
51544 23939.99999 9240.239
51544 24119.99999 9075.410
51544 24299.99999 8927.258
51544 24479.99999 8795.083
51544 24659.99999 8678.101
51544 24839.99999 8575.525
51544 25019.99999 8486.623
51544 25199.99999 8410.777
51544 25379.99999 8347.528
51544 25559.99999 8296.608
51544 25739.99999 8257.970
51544 25919.99999 8231.807
51544 26099.99999 8218.565
51544 26279.99999 8218.942
51544 26459.99999 8233.878
51544 26639.99999 8264.535
51544 26819.99999 8312.259
51544 26999.99999 8378.519
51544 27179.99999 8466.358
51544 27359.99999 8577.409
51544 27539.99999 8712.782
51544 27719.99999 8873.146
51544 27899.99999 9058.535
51544 28079.99999 9268.108
51544 28259.99999 9499.903
51544 28439.99999 9750.580
51544 28619.99999 10015.191
51544 28799.99999 10287.078
51544 28979.99999 10557.976
51544 29159.99999 10818.479
51544 29339.99999 11058.946
51544 29519.99999 11270.776
51544 29699.99999 11447.758
51544 29879.99999 11587.028
51544 30059.99999 11689.264
51544 30239.99999 11758.075
51544 30419.99999 11798.892
51544 30599.99999 11817.805
51544 30779.99999 11820.642
51544 30959.99999 11812.411
51544 31139.99999 11797.064
51544 31319.99999 11777.477
51544 31499.99999 11755.556
51544 31679.99999 11732.398
51544 31859.99999 11708.457
51544 32039.99999 11683.702
51544 32219.99999 11657.753
51544 32399.99999 11629.989
51544 32579.99999 11599.639
51544 32759.99999 11565.849
51544 32939.99999 11527.738
51544 33119.99999 11484.439
51544 33299.99999 11435.129
51544 33479.99999 11379.054
